,ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante
1591,6586,9,12/6/2019,19:17,Botafogo-RJ,Gremio,4-1-4-1,4-2-3-1,E. de Souza Barroca,Renato Gaúcho,Gremio,Estádio Nilton Santos,0,1,RJ,RS,7.0,3.0,47%,463.0,87%,9.0,1.0,0.0,1.0,4.0,14.0,5.0,53%,515.0,87%,11.0,2.0,0.0,4.0,7.0
1592,6587,9,12/6/2019,21:01,Fortaleza,Cruzeiro,4-2-3-1,4-2-3-1,R. Ceni,L. Venker de Menezes,Fortaleza,Arena Castelão,2,1,CE,MG,11.0,4.0,46%,354.0,81%,10.0,0.0,1.0,1.0,6.0,12.0,4.0,54%,426.0,86%,15.0,6.0,0.0,2.0,5.0
1593,6588,9,12/6/2019,21:30,Internacional,Bahia,4-3-3,4-1-4-1,O. Hellmann,R. Machado Marques,Internacional,Estádio José Pinheiro Borda,3,1,RS,BA,14.0,7.0,45%,506.0,83%,11.0,1.0,0.0,0.0,3.0,19.0,2.0,55%,593.0,86%,7.0,1.0,0.0,0.0,3.0
1594,6589,9,12/6/2019,21:30,CSA,Flamengo,4-1-4-1,4-2-3-1,M. Ribeiro Cabo,M. Salles,Flamengo,Estádio Nacional de Brasília,0,2,AL,RJ,10.0,2.0,34%,276.0,69%,13.0,3.0,0.0,1.0,3.0,24.0,11.0,66%,515.0,85%,10.0,1.0,0.0,2.0,12.0
1595,6590,9,12/6/2019,21:31,Santos,Corinthians,4-3-3,4-1-4-1,J. Sampaoli Moya,F. Carille,Santos,Estádio Urbano Caldeira,1,0,SP,SP,19.0,4.0,53%,461.0,80%,16.0,4.0,0.0,2.0,2.0,2.0,0.0,47%,413.0,76%,13.0,4.0,0.0,1.0,3.0
1596,6591,9,13/6/2019,19:16,Vasco,Ceara,4-3-3,4-4-2,V. Luxemburgo da Silva,E. Alves Moreira,Vasco,Estádio Vasco da Gama,1,0,RJ,CE,18.0,11.0,53%,484.0,82%,14.0,0.0,0.0,2.0,5.0,8.0,1.0,47%,426.0,80%,15.0,2.0,0.0,3.0,1.0
1597,6592,9,13/6/2019,20:00,Chapecoense,Fluminense,4-1-4-1,4-3-3,N. da Silveira Júnior,F. Diniz Silva,-,Arena Condá,1,1,SC,RJ,15.0,4.0,35%,296.0,78%,12.0,2.0,0.0,1.0,5.0,10.0,3.0,65%,549.0,89%,21.0,5.0,1.0,1.0,3.0
1598,6593,9,13/6/2019,20:00,Palmeiras,Avai,4-2-3-1,4-1-4-1,L. Scolari,E. Machado Souto,Palmeiras,Allianz Parque,2,0,SP,SC,14.0,6.0,53%,421.0,78%,13.0,1.0,0.0,1.0,9.0,8.0,2.0,47%,379.0,81%,18.0,1.0,0.0,1.0,1.0
1599,6594,9,13/6/2019,20:00,Atletico-MG,Sao Paulo,4-2-3-1,4-2-3-1,R. Marques Santana,A. Stival,-,Estádio Raimundo Sampaio,1,1,MG,SP,20.0,8.0,69%,721.0,87%,13.0,2.0,0.0,0.0,12.0,9.0,3.0,31%,318.0,75%,17.0,4.0,0.0,0.0,5.0
1600,6595,9,13/6/2019,14:08,Goias,Athletico-PR,4-2-3-1,4-1-2-1-2,C. dos Santos Oliveira,T. Retzalff Nunes,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),2,1,GO,PR,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
